Neighborhood,Latitude,Longitude
Ang Mo Kio,1.3691,103.8454
Bedok,1.3236,103.9273
Bishan,1.3526,103.8352
Boon Lay,1.3386,103.7058
Bukit Batok,1.359,103.7637
Bukit Merah,1.2819,103.8239
Bukit Panjang,1.3774,103.7719
Bukit Timah,1.3294,103.8021
Changi,1.345,103.9832
Choa Chu Kang,1.384,103.747
Clementi,1.3162,103.7649
Downtown Core,1.2867,103.8535
Geylang,1.3201,103.8918
Hougang,1.3612,103.8863
Jurong East,1.3329,103.7436
Jurong West,1.3404,103.709
Kallang,1.31,103.8651
Lim Chu Kang,1.4305,103.7173
Mandai,1.426,103.8241
Marine Parade,1.302,103.8971
Museum,1.2966,103.8485
Newton,1.3076,103.8404
North-Eastern Islands,1.4147,104.006
Novena,1.3209,103.8424
Orchard,1.3048,103.8318
Outram,1.2849,103.8439
Pasir Ris,1.3721,103.9474
Paya Lebar,1.3516,103.8995
Pioneer,1.3376,103.6974
Punggol,1.3984,103.9072
Queenstown,1.2942,103.7861
River Valley,1.2959,103.8361
Rochor,1.3051,103.8509
Seletar,1.4052,103.8663
Sembawang,1.4491,103.8185
Sengkang,1.3868,103.8914
Serangoon,1.3554,103.8679
Singapore River,1.287,103.85
Southern Islands,1.2537,103.8257
Sungei Kadut,1.418,103.751
Tampines,1.3496,103.9568
Tanglin,1.3069,103.8189
Tengah,1.3555,103.7308
Toa Payoh,1.3343,103.8563
Tuas,1.2949,103.6305
Western Islands,1.2479,103.6768
Western Water Catchment,1.3472,103.6825
Woodlands,1.4382,103.789
Yishun,1.4304,103.8354
